Date,depth,Temp
2004-01-18,0,NA
2004-01-18,0,NA
2004-01-18,0,NA
2004-01-18,19,NA
2004-01-18,20,NA
2004-01-18,25,NA
2004-01-18,40,NA
2004-01-18,48,NA
2004-01-18,50,NA
2004-01-18,50,NA
2004-01-18,60,NA
2004-01-18,75,NA
2004-01-18,80,NA
2004-01-18,100,NA
2004-01-18,100,NA
2004-01-18,150,NA
2004-01-18,150,NA
2004-01-18,200,NA
2004-02-22,0,NA
2004-02-22,0,NA
2004-02-22,1,NA
2004-02-22,1,NA
2004-02-22,20,NA
2004-02-22,20,NA
2004-02-22,20,NA
2004-02-22,20,NA
2004-02-22,40,NA
2004-02-22,40,NA
2004-02-22,47,NA
2004-02-22,60,NA
2004-02-22,60,NA
2004-02-22,80,NA
2004-02-22,80,NA
2004-02-22,100,NA
2004-02-22,100,NA
2004-02-22,100,NA
2004-02-22,200,NA
2004-02-22,200,NA
2004-02-22,200,NA
2004-03-21,0,NA
2004-03-21,1,21.206
2004-03-21,1,NA
2004-03-21,20,21.234
2004-03-21,20,NA
2004-03-21,20,NA
2004-03-21,40,21.2392
2004-03-21,40,NA
2004-03-21,46,NA
2004-03-21,60,21.2431
2004-03-21,60,NA
2004-03-21,80,21.2466
2004-03-21,80,NA
2004-03-21,100,21.2556
2004-03-21,150,NA
2004-03-21,200,21.2757
2004-04-18,0,NA
2004-04-18,1,NA
2004-04-18,1,NA
2004-04-18,20,NA
2004-04-18,20,NA
2004-04-18,20,NA
2004-04-18,40,NA
2004-04-18,40,NA
2004-04-18,47,NA
2004-04-18,60,NA
2004-04-18,60,NA
2004-04-18,80,NA
2004-04-18,80,NA
2004-04-18,100,NA
2004-04-18,100,NA
2004-04-18,150,NA
2004-04-18,150,NA
2004-04-18,200,NA
2004-04-18,200,NA
2004-05-16,0,23.4514
2004-05-16,0,23.6799
2004-05-16,0,23.3528
2004-05-16,20,23.0553
2004-05-16,20,23.1873
2004-05-16,20,23.1265
2004-05-16,40,22.8207
2004-05-16,40,22.9861
2004-05-16,53,22.8715
2004-05-16,60,22.5318
2004-05-16,81,22.473
2004-05-16,89,22.3266
2004-05-16,100,22.3174
2004-05-16,109,22.1487
2004-05-16,131,22.0363
2004-05-16,150,21.6102
2004-05-16,161,21.5877
2004-05-16,200,21.4241
2004-05-16,200,21.4315
2004-06-20,0.5,25.1649
2004-06-20,2,24.8107
2004-06-20,2,24.6489
2004-06-20,10,24.5218
2004-06-20,19,24.011
2004-06-20,20,24.0827
2004-06-20,40,23.436
2004-06-20,50,23.6135
2004-06-20,50,23.7331
2004-06-20,60,23.4567
2004-06-20,80,23.2948
2004-06-20,100,22.7568
2004-06-20,100,23.0562
2004-06-20,120,22.4474
2004-06-20,124,22.4161
2004-06-20,140,21.9823
2004-06-20,150,21.9993
2004-06-20,160,21.5819
2004-06-20,200,21.3923
2004-06-20,200,21.4473
2004-07-18,0,25.9006
2004-07-18,20,25.874
2004-07-18,40,24.6244
2004-07-18,60,24.2341
2004-07-18,80,24.0672
2004-07-18,100,23.6493
2004-07-18,130,22.5518
2004-07-18,160,21.8493
2004-07-18,199,21.4719
2004-08-15,0,26.4906
2004-08-15,0,26.0407
2004-08-15,0,27.1493
2004-08-15,1,25.3224
2004-08-15,20,25.8313
2004-08-15,20,25.3063
2004-08-15,30,25.4006
2004-08-15,40,24.8993
2004-08-15,46,24.624
2004-08-15,50,24.4363
2004-08-15,60,24.3352
2004-08-15,75,23.9898
2004-08-15,85,23.9469
2004-08-15,100,23.4899
2004-08-15,100,23.0824
2004-08-15,100,23.4021
2004-08-15,125,22.9165
2004-08-15,125,22.7045
2004-08-15,150,22.4893
2004-08-15,150,22.1604
2004-08-15,150,22.3311
2004-08-15,200,21.8395
2004-08-15,200,21.5384
2004-08-15,200,21.6361
2004-09-02,0,25.819
2004-09-02,10,25.7527
2004-09-02,20,25.7015
2004-09-02,40,25.0623
2004-09-02,60,24.2935
2004-09-02,80,23.8086
2004-09-02,100,23.5096
2004-09-02,121,23.0063
2004-09-02,160,22.2017
2004-09-02,200,21.58
2004-10-20,0,NA
2004-10-20,10,NA
2004-10-20,20,NA
2004-10-20,40,NA
2004-10-20,60,NA
2004-10-20,80,NA
2004-10-20,100,NA
2004-10-20,120,NA
2004-10-20,140,NA
2004-10-20,160,NA
2004-11-16,0,25.6501
2004-11-16,0,25.6968
2004-11-16,0,NA
2004-11-16,10,25.6326
2004-11-16,20,25.6259
2004-11-16,20,25.6183
2004-11-16,20,NA
2004-11-16,40,25.58
2004-11-16,40,25.5085
2004-11-16,60,25.5214
2004-11-16,80,25.0958
2004-11-16,80,25.0647
2004-11-16,100,24.9948
2004-11-16,100,24.9564
2004-11-16,120,24.8243
2004-11-16,140,24.7681
2004-11-16,140,24.0541
2004-11-16,160,23.3102
2004-11-16,160,22.7916
2004-11-16,200,22.3195
2004-11-16,200,22.2266
2004-12-20,0,22.7571
2004-12-20,0,22.7625
2004-12-20,0,NA
2004-12-20,20,22.7337
2004-12-20,21,22.7281
2004-12-20,21,NA
2004-12-20,41,22.7329
2004-12-20,41,22.7249
2004-12-20,47,22.6452
2004-12-20,60,22.7331
2004-12-20,60,22.7135
2004-12-20,80,22.7364
2004-12-20,100,22.7332
2004-12-20,101,22.717
2004-12-20,150,22.7399
2004-12-20,150,22.713
